# Stars farther than  0.00pc and closer than  7.00pc
# Lum between 0.0 and 100.0
#Gliese	StarName    	Spec 	DistPC	  X	  Y	  Z 	 Xg	 Yg	 Zg	  Lum
408   	AC+23 468-46	M3d   	 6.62	 -5.87	  1.64	  2.60	 -2.30	 -1.70	  5.98	 0.00
411   	DM+36 2147  	M2Ve  	 2.52	 -1.96	  0.52	  1.49	 -1.04	 -0.09	  2.29	 0.01
412A  	DM+44 2051  	M2Ve  	 5.38	 -3.76	  0.96	  3.72	 -2.38	  0.49	  4.80	 0.01
412B  	WX UMA      	M8de  	 5.38	 -3.76	  0.95	  3.72	 -2.38	  0.49	  4.80	 0.00
440   	L 145-141   	C wD  	 4.85	 -2.08	  0.15	 -4.38	  2.12	 -4.36	 -0.24	 0.00
445   	AC+79 3888  	M4sd  	 5.10	 -0.97	  0.07	  5.01	 -2.41	  3.22	  3.14	 0.00
447   	ROSS 128    	M5d   	 3.32	 -3.31	  0.22	  0.06	  0.00	 -1.68	  2.86	 0.00
473A  	WOLF 424    	M5de  	 4.33	 -4.23	 -0.57	  0.70	  0.45	 -1.31	  4.10	 0.00
473B  	    	      	 4.33	 -4.23	 -0.57	  0.70	  0.45	 -1.31	  4.10	 0.00
477.1 	DM+46 1797  	K4V   	 6.10	 -4.19	 -0.62	  4.39	 -1.30	  1.48	  5.77	 0.05
526   	DM+15 2620  	M4Ve  	 4.98	 -4.32	 -2.09	  1.30	  1.49	 -0.22	  4.74	 0.01
551   	PROXIMA CEN 	M5de  	 1.31	 -0.49	 -0.36	 -1.17	  0.91	 -0.94	 -0.04	 0.00
555   	DM-11 3759  	M4d   	 6.25	 -4.82	 -3.75	 -1.33	  4.24	 -1.68	  4.27	 0.00
559A  	ALF CEN     	G2V   	 1.35	 -0.51	 -0.42	 -1.17	  0.96	 -0.94	 -0.02	 1.66
559B  	    	K0V   	 1.35	 -0.51	 -0.42	 -1.17	  0.96	 -0.94	 -0.02	 0.48
566A  	XI BOO      	G8Ve  	 6.76	 -4.72	 -4.29	  2.23	  2.98	  1.27	  5.93	 0.56
566B  	    	K4Ve  	 6.76	 -4.72	 -4.29	  2.23	  2.98	  1.27	  5.93	 0.08
570A  	DM-20 4125  	K5Ve  	 5.56	 -3.75	 -3.57	 -2.01	  4.34	 -1.73	  3.00	 0.14
570B  	DM-20 4123  	M2V   	 5.56	 -3.75	 -3.57	 -2.01	  4.34	 -1.73	  3.00	 0.02
581   	DM-07 4003  	M5d   	 6.54	 -4.23	 -4.91	 -0.86	  4.98	 -0.51	  4.20	 0.00
588   	DM-40 9712  	M4    	 5.92	 -2.73	 -3.53	 -3.89	  5.14	 -2.65	  1.24	 0.00
628   	DM-12 4523  	M5d   	 4.02	 -1.54	 -3.61	 -0.87	  3.67	  0.22	  1.61	 0.00
643   	WOLF 629    	M4sd  	 6.21	 -1.78	 -5.88	 -0.89	  5.68	  1.11	  2.24	 0.00
644A  	DM-08 4352  	M4de  	 6.21	 -1.78	 -5.88	 -0.89	  5.69	  1.11	  2.24	 0.00
644B  	    	M4d   	 6.21	 -1.78	 -5.88	 -0.89	  5.69	  1.11	  2.24	 0.00
644C  	VB 8        	    	 6.21	 -1.77	 -5.88	 -0.90	  5.69	  1.11	  2.23	 0.00
661A  	DM+45 2505  	M3d   	 6.45	 -0.96	 -4.40	  4.62	  1.67	  4.95	  3.79	 0.00
661B  	    	M3    	 6.45	 -0.96	 -4.40	  4.62	  1.67	  4.95	  3.79	 0.00
663A  	DM-26 12026 	K1Ve  	 5.43	 -1.01	 -4.76	 -2.43	  5.39	 -0.16	  0.65	 0.26
663B  	    	K1Ve  	 5.43	 -1.01	 -4.76	 -2.43	  5.39	 -0.16	  0.65	 0.25
664   	DM-26 12036 	K5Ve  	 5.43	 -0.99	 -4.76	 -2.42	  5.39	 -0.15	  0.64	 0.08
674   	DM-46 11540 	M4    	 4.63	 -0.48	 -3.13	 -3.38	  4.40	 -1.34	 -0.55	 0.00
682   	DM-44 11909 	M5    	 4.69	 -0.39	 -3.34	 -3.28	  4.52	 -1.13	 -0.54	 0.00
687   	DM+68 946   	M3V   	 4.69	 -0.18	 -1.72	  4.36	 -0.60	  3.94	  2.49	 0.00
693   	L 205-128   	 M    	 5.88	 -0.24	 -3.17	 -4.95	  5.18	 -2.38	 -1.47	 0.00
699   	BARNARD'S ST	M5V   	 1.81	 -0.04	 -1.81	  0.14	  1.51	  0.90	  0.44	 0.00
702A  	DM+02 3482  	K0Ve  	 5.13	  0.07	 -5.12	  0.22	  4.36	  2.51	  1.01	 0.49
702B  	    	K5Ve  	 5.13	  0.07	 -5.12	  0.22	  4.36	  2.51	  1.01	 0.10
725A  	DM+59 1915  	M4d   	 3.55	  0.33	 -1.77	  3.06	  0.04	  3.23	  1.45	 0.00
725B  	    	M5d   	 3.55	  0.33	 -1.77	  3.06	  0.04	  3.23	  1.45	 0.00
729   	AC-24 2833-1	M4de  	 2.90	  0.54	 -2.60	 -1.17	  2.80	  0.56	 -0.52	 0.00
752A  	DM+04 4048  	M3Ve  	 5.78	  1.84	 -5.46	  0.51	  4.39	  3.75	 -0.33	 0.01
752B  	VB 10       	M5de  	 5.78	  1.84	 -5.46	  0.51	  4.39	  3.74	 -0.33	 0.00
754   	L 347-14    	M7    	 5.71	  1.32	 -3.77	 -4.08	  5.18	 -0.69	 -2.31	 0.00
764   	SIG DRA     	K0V   	 5.68	  0.78	 -1.82	  5.32	 -1.04	  5.17	  2.12	 0.39
768   	ALF AQL     	A7IV  	 5.05	  2.27	 -4.44	  0.77	  3.36	  3.69	 -0.78	 11.59
780   	DEL PAV     	G8V   	 5.71	  1.18	 -1.97	 -5.23	  4.17	 -2.43	 -3.06	 1.14
783A  	DM-36 13940 	K3V   	 5.65	  2.41	 -3.87	 -3.34	  4.83	  0.44	 -2.90	 0.22
783B  	    	M5d   	 5.65	  2.41	 -3.87	 -3.34	  4.83	  0.44	 -2.90	 0.00
784   	DM-45 13677 	M0V   	 6.10	  2.31	 -3.61	 -4.34	  5.09	 -0.46	 -3.32	 0.02
820A  	61 CYG      	K5Ve  	 3.38	  1.91	 -1.83	  2.10	  0.45	  3.33	 -0.34	 0.08
820B  	    	K7Ve  	 3.38	  1.91	 -1.83	  2.10	  0.45	  3.33	 -0.34	 0.04
825   	DM-39 14192 	M0Ve  	 3.85	  2.24	 -1.98	 -2.42	  2.75	  0.19	 -2.69	 0.03
829   	AC+17 534-10	M4de  	 6.54	  4.90	 -3.86	  1.96	  2.09	  5.61	 -2.62	 0.00
832   	DM-49 13515 	M1V   	 4.67	  2.42	 -1.86	 -3.54	  3.17	 -0.60	 -3.38	 0.01
845   	EPS IND     	K5Ve  	 3.44	  1.62	 -0.94	 -2.88	  2.10	 -0.92	 -2.55	 0.14
860A  	DM+56 2783  	M3d   	 3.95	  1.95	 -0.85	  3.33	 -1.00	  3.82	 -0.00	 0.00
860B  	DO CEP      	M4de  	 3.95	  1.95	 -0.85	  3.33	 -1.00	  3.82	 -0.00	 0.00
866   	L 789-6     	M7de  	 3.28	  2.95	 -1.13	 -0.88	  1.22	  1.31	 -2.75	 0.00
873   	DM+43 4305  	M4de  	 5.13	  3.49	 -1.19	  3.57	 -0.92	  4.91	 -1.16	 0.00
876   	DM-15 6290  	M5d   	 4.78	  4.42	 -1.38	 -1.20	  1.49	  1.91	 -4.13	 0.00
880   	DM+15 4733  	M2de  	 6.85	  6.30	 -1.86	  1.92	  0.27	  5.38	 -4.24	 0.01
881   	ALF PSA     	A3V   	 6.71	  5.59	 -1.63	 -3.34	  2.66	  1.00	 -6.08	 14.06
887   	DM-36 15693 	M2Ve  	 3.58	  2.80	 -0.72	 -2.11	  1.46	  0.13	 -3.27	 0.01
892   	DM+56 2966  	K3V   	 6.80	  3.63	 -0.79	  5.70	 -2.31	  6.39	 -0.38	 0.25
896A  	DM+19 5116  	M4de  	 6.45	  6.02	 -0.81	  2.17	 -0.75	  4.95	 -4.07	 0.00
896B  	    	M6de  	 6.45	  6.02	 -0.81	  2.17	 -0.75	  4.95	 -4.07	 0.00
905   	ROSS 248    	M6de  	 3.14	  2.26	 -0.20	  2.18	 -1.03	  2.83	 -0.92	 0.00
908   	DM+01 4774  	M2Ve  	 5.71	  5.70	 -0.33	  0.21	 -0.19	  3.12	 -4.78	 0.01
